Unit ID,Album,Record Store ,Purchase City,Date Purchased,Personal Rating
1,Pink Moon,Online,,Jul-17,5
2,Foxy Shazam,Online,,Sep-19,3
3,Down the Highway,Strictly Discs,"Madison, WI",Jun-18,4
4,Malibu,Online,,May-19,3
5,The Wild Hunt,Half Price Books,"Madison, WI",Jul-17,4
6,Trouble,Mad City Records,"Madison, WI",Jul-17,4
7,Who Are You,Mad City Records,"Madison, WI",Jul-17,3
8,Ten Stories,Mad City Records,"Madison, WI",Feb-18,3
9,Float,Mad City Records,"Madison, WI",Nov-17,4
10,Agents of Fortune,Half Price Books,"Madison, WI",Apr-17,3
11,Speak of the Sea,Mad City Records,"Madison, WI",Feb-18,3
12,Rocky: Original Motion Picture Score,Mad City Records,"Madison, WI",Feb-18,2
13,Everything All The Time,Sonic Boom Records,"Seattle, WA",Mar-16,3
14,17,Half Price Books,"Madison, WI",Nov-17,3
15,Blunderbuss,Barnes and Noble,"Seattle, WA",Feb-16,4
16,Furr,Strictly Discs,"Madison, WI",Jan-18,5
17,Palomino,Mad City Records,"Madison, WI",Oct-16,3
18,Hello Operator/Jolene,Online,,Oct-16,4
19,Hold On/On A Dying Woman,Online,,Jan-18,4
20,Maybe Baby/Soul Singer,Online,,Apr-17,4
21,Hurricane,Mad City Records,"Madison, WI",Jan-18,5
22,You Are The Problem Here,Online,,Dec-18,3
23,The Best of Townes Van Zandt,Strictly Discs,"Madison, WI",Jan-18,5
24,I Got A Name,Mad City Records,"Madison, WI",Oct-16,4
25,Simon & Garfunkel Vol. 2,Strictly Discs,"Madison, WI",Jun-16,5
26,Dark Was The Night,Strictly Discs,"Madison, WI",Oct-16,4
27,"O Brother, Where Art Thou?: Original Soundtrack",Online,,Jul-17,5
28,Drunken Lullabies,Sonic Boom Records,"Seattle, WA",Apr-16,4
29,People Who Can Eat People Are The Luckiest People In The World,Mad City Records,"Madison, WI",Jul-17,4
30,The Best of the Lovin' Spoonful,Half Price Books,"Madison, WI",Oct-18,2
31,Sinatra Sings Of Love and Things,Gift,"Madison, WI",Oct-18,3
32,Breakfast in America,Half Price Books,"Madison, WI",May-17,5
33,To Pimp A Butterfly,Online,,Apr-18,2
34,Greatest Hits,Sonic Boom Records,"Seattle, WA",Mar-16,2
35,The Darjeeling Limited: Original Soundtrack,Barnes and Noble,"Seattle, WA",Mar-16,5
36,Nights Are Forever,Half Price Books,"Madison, WI",May-17,4
37,69 Love Songs,Strictly Discs,"Madison, WI",Oct-16,4
38,Hamilton: An American Musical,Barnes and Noble,"Madison, WI",Oct-16,5
39,Biograph,Mad City Records,"Madison, WI",Oct-16,3
40,Helplessness Blues,Barnes and Noble,"Seattle, WA",Apr-16,5
41,Tea for the Tillerman,Half Price Books,"Madison, WI",Nov-17,5
42,Evil Friends,Sonic Boom Records,"Seattle, WA",Mar-16,3
43,can't maintain.,Mad City Records,"Madison, WI",May-17,4
44,Positive Songs for Negative People,Mad City Records,"Madison, WI",Apr-17,3
45,JT,Half Price Books,"Madison, WI",May-17,4
46,Double Fantasy,Mad City Records,"Madison, WI",Apr-17,4
47,A Forest of Arms,Strictly Discs,"Madison, WI",May-17,3
48,American Goldwing,Online,,Nov-17,5
49,VII,Strictly Discs,"Madison, WI",Jun-18,4
50,Girls in Peacetime Want to Dance,Mad City Records,"Madison, WI",Jun-18,3
51,Weird Scenes Inside the Gold Mine,Half Price Books,"Madison, WI",Apr-17,4
52,The Hands that Thieve,Mad City Records,"Madison, WI",Nov-17,4
53,Woodstock 1994,Strictly Discs,"Madison, WI",Jan-19,3
54,Townes Van Zandt,Barnes and Noble,"Seattle, WA",Apr-16,5
55,Pale Horses,Strictly Discs,"Seattle, WA",Mar-16,3
56,Planisphere,Mad City Records,"Madison, WI",Apr-17,3
57,Acid Rap,Gift,"Madison, WI",Feb-18,2
58,Doolittle,Online,,Feb-18,4
59,Moondance,Mad City Records,"Seattle, WA",Mar-16,5
60,Wild Mountian Nation,Online,,Aug-18,4
61,Lonesome Dreams,Mad City Records,"Madison, WI",Apr-17,3
62,IV,Online,,Aug-18,4
63,American Idiot,Online,,Nov-17,4
64,Swagger,Sonic Boom Records,"Seattle, WA",Mar-16,4
65,Immigraniada,Mad City Records,"Madison, WI",Mar-18,3
66,Kerplunk,Mad City Records,"Madison, WI",Feb-18,3
67,Censored Colors,Mad City Records,"Madison, WI",Nov-18,3
68,Visions of Us on the Land,Strictly Discs,"Seattle, WA",Apr-16,3
69,Highway 61 Revisited,Strictly Discs,"Madison, WI",Sep-17,5
70,Raiders of the Lost Ark: Original Motion Picture Soundtrack,Mad City Records,"Madison, WI",Oct-19,3
71,Greatest Hits Vol. II,Mad City Records,"Madison, WI",Nov-18,5
72,Planet Waves,Goodwill,"Madison, WI",Nov-17,5
73,"Parsley, Sage, Rosemary and Thyme",Goodwill,"Madison, WI",Nov-18,5
