Unit ID,Album,Purchase Price,Discogs Lowest Sold,Discogs Highest Sold
1,Pink Moon,23.99,18.00,30.95
2,Foxy Shazam,9.99,35.99,83.32
3,Down the Highway,2.00,3.00,24.99
4,Malibu,22.99,28.07,80.00
5,The Wild Hunt,9.00,9.00,26.19
6,Trouble,10.00,21.48,58.63
7,Who Are You,5.00,6.84,26.19
8,Ten Stories,14.99,8.00,15.41
9,Float,12.99,8.33,16.07
10,Agents of Fortune,5.00,4.00,9.00
11,Speak of the Sea,22.00,16.67,38.80
12,Rocky: Original Motion Picture Score,4.00,3.99,16.00
13,Everything All The Time,11.99,12.00,16.00
14,17,1.00,1.00,4.50
15,Blunderbuss,27.99,14.00,27.98
16,Furr,9.99,8.99,22.99
17,Palomino,14.99,14.53,18.98
18,Hello Operator/Jolene,10.00,8.90,27.40
19,Hold On/On A Dying Woman,5.99,1.59,5.99
20,Maybe Baby/Soul Singer,5.00,0.75,7.14
21,Hurricane,15.00,1.19,15.46
22,You Are The Problem Here,6.99,4.17,5.92
23,The Best of Townes Van Zandt,17.99,24.99,47.93
24,I Got A Name,4.00,1.00,5.49
25,Simon & Garfunkel Vol. 2,7.00,4.75,9.99
26,Dark Was The Night,24.99,21.00,64.75
27,"O Brother, Where Art Thou?: Original Soundtrack",11.99,15.00,35.71
28,Drunken Lullabies,18.99,18.99,31.60
29,People Who Can Eat People Are The Luckiest People In The World,9.00,26.18,56.38
30,The Best of the Lovin' Spoonful,3.00,1.00,4.00
31,Sinatra Sings Of Love and Things,0.00,1.00,3.00
32,Breakfast in America,6.00,3.00,12.00
33,To Pimp A Butterfly,24.99,21.59,28.99
34,Greatest Hits,1.00,1.00,2.00
35,The Darjeeling Limited: Original Soundtrack,14.99,16.00,27.99
36,Nights Are Forever,1.00,1.00,2.00
37,69 Love Songs,79.99,69.99,84.32
38,Hamilton: An American Musical,69.99,58.12,77.48
39,Biograph,15.00,12.99,22.89
40,Helplessness Blues,18.99,12.87,22.34
41,Tea for the Tillerman,4.00,2.00,6.00
42,Evil Friends,11.99,8.24,16.55
43,can't maintain.,8.00,17.84,29.00
44,Positive Songs for Negative People,8.00,12.99,21.38
45,JT,1.00,1.00,2.00
46,Double Fantasy,4.00,1.00,3.00
47,A Forest of Arms,12.00,6.00,11.00
48,American Goldwing,14.99,8.74,14.38
49,VII,12.99,8.98,14.78
50,Girls in Peacetime Want to Dance,17.99,8.21,27.78
51,Weird Scenes Inside the Gold Mine,1.00,1.00,2.00
52,The Hands that Thieve,9.00,14.34,34.53
53,Woodstock 1994,17.99,22.93,45.39
54,Townes Van Zandt,16.99,13.45,19.93
55,Pale Horses,14.99,12.99,16.94
56,Planisphere,22.99,13.39,24.13
57,Acid Rap,0.00,17.59,29.44
58,Doolittle,13.99,9.40,21.00
59,Moondance,7.00,3.00,21.00
60,Wild Mountian Nation,13.50,8.66,14.56
61,Lonesome Dreams,11.50,7.65,14.55
62,IV,14.99,11.23,12.99
63,American Idiot,22.99,15.65,22.21
64,Swagger,16.99,16.76,21.23
65,Immigraniada,7.00,5.65,9.99
66,Kerplunk,10.99,9.76,13.99
67,Censored Colors,11.99,7.87,12.94
68,Visions of Us on the Land,17.99,14.66,18.98
69,Highway 61 Revisited,25.00,1.00,45.00
70,Raiders of the Lost Ark: Original Motion Picture Soundtrack,5.00,1.00,6.00
71,Greatest Hits Vol. II,1.00,1.00,2.00
72,Planet Waves,1.00,1.00,6.00
73,"Parsley, Sage, Rosemary and Thyme",1.00,1.00,5.00
74,Lazaretto,24.99,17.63,25.89
75,All the Young Dudes,5.00,1.00,6.00
76,There Will Be Blood,14.00,13.40,17.89
77,Carrie & Lowell,16.99,7.90,21.94
78,Rocket,0.00,9.34,14.94
79,Hang,11.99,7.80,14.56
80,Come On Feel The Illinoise,85.00,78.34,112.43
81,The Doors,45.00,50.00,100.00
82,Little by Little,40.00,28.00,53.25
83,Pure Comedy,19.99,17.89,18.98
84,Red Blood Cells,22.99,13.44,24.56
85,Sigh No More,13.99,8.77,15.69
86,Crack-Up,21.99,20.32,24.99
87,Flyin' Shoes,38.00,12.30,60.98
88,Graceland,8.00,4.00,11.32
89,Across the Border,12.00,9.06,13.44
90,Pleasures of the Harbor,1.00,1.00,2.00
91,Morrison Hotel,12.00,5.00,12.00
92,Ride Out of the Dark,19.99,15.43,19.87
93,All Across This Land,21.99,15.09,20.99
94,The Graduate: The Original Soundtrack Recording,10.00,1.00,12.00
95,"Wednesday Morning, 3AM",1.00,1.00,2.00
96,Music for Drifters,8.00,4.99,12.43
97,Boxer,15.99,11.23,19.87
98,Babel,12.99,11.52,19.34
99,The Kinks Greatest Hits!,5.00,1.00,6.00
100,Red of Tooth and Claw,11.99,9.32,17.88
101,Insomniac,17.99,12.89,17.97
102,The Godfather: Original Soundtrack Recording,1.00,1.00,2.00
103,Empire Burlesque,1.00,1.00,5.00
104,Garden Party,1.00,1.00,2.00
105,Our Endless Numbered Days,18.99,14.56,19.50
106,Teens of Denial,21.99,13.56,19.76
107,Bookends,7.00,1.00,12.00
108,Complete Strangers,8.99,5.00,11.34
109,Watter,6.99,7.32,30.00
110,Fellow Travelers,9.99,6.78,12.98
111,Zelda & Chill,0.00,40.00,75.00
112,Blonde on Blonde,1.00,5.00,20.00
113,Yankee Hotel Foxtrot,17.99,13.33,19.99
114,Blitzen Trapper Vol. I,12.99,9.34,12.34
115,Blitzen Trapper Live at Third Man Records,35.99,16.99,35.99
116,Under the Starling Host,8.00,6.93,12.89
117,Simon & Garfunkel's Greatest Hits,1.00,1.00,2.00
118,We are the 21st Centry Ambassadors of Peace & Magic,12.99,8.64,14.78
119,Give Up,16.99,12.21,16.54
120,Fear Fun,19.99,17.61,21.32
121,Bob Dylan's Greatest Hits 2,8.00,1.00,12.00
122,Bob Dylan's Greatest Hits,8.00,1.00,12.00
123,Before the Flood,14.99,12.21,15.66
124,Redemption,11.99,6.74,14.58
125,Especially for You,1.00,1.00,2.00
126,The Soft Parade,1.00,1.00,9.00
127,Infidels,1.00,1.00,4.00
128,Field Rexx,12.99,8.43,14.53
129,River City Extension and the Unmistakable Man,17.50,7.43,17.99
130,The Velvet Underground & Nico,25.99,12.89,22.45
131,Dodge and Burn,14.99,8.76,17.89
132,Don't Let the Sun Go Down on Your Anger,18.99,11.23,17.87
133,Between the Buttons,1.00,1.00,3.00
134,Computer Controlled Acoustic Instruments Pt. 2,9.99,6.79,11.89
135,Johnny Horton's Greatest Hits,1.00,1.00,2.00
136,De Stijl,22.99,17.68,23.44
137,The White Stripes,22.99,14.56,22.56
138,Get Behind Me Satan,27.99,18.58,32.54
139,And The War Came,13.99,8.48,17.87
140,A Moon Shaped Pool,28.99,17.38,31.23
141,Underdog World Strike,19.99,11.23,23.33
142,Death of a Decade,11.99,6.73,10.98
143,Elephant,24.99,16.44,25.65
144,Coming Home,13.99,9.43,16.65
145,Elton John,0.00,1.00,2.00
146,Blitzen Trapper Live at Third Man Records,17.99,14.99,22.34
147,Keasbey Nights,8.00,22.99,45.78
148,Deja vu,1.00,1.00,2.00
149,Blood on the Tracks,12.00,8.43,12.45
150,This is Not for Children,14.99,8.11,23.45
151,Somewhere in the Between,8.00,23.43,56.65
152,99 Songs of Revolution: Volume One,9.00,18.98,41.26
153,Live Harvest,40.00,42.98,55.43
154,Yeezus,18.99,14.54,21.23
155,Orson Welles' War of the Worlds,1.00,1.00,2.00
156,All That We Know,1.00,1.00,2.00
157,Summer Breeze,1.00,1.00,2.00
158,Lola versus Powerman and the Moneygoround,30.00,45.00,87.66
159,Fight Club: Original Motion Picture Score,29.99,17.89,32.58
160,Chronicle: The 20 Greatest Hits,6.00,4.00,8.40
161,Bridge Over Troubled Water,5.00,1.00,3.00
162,Fleet Foxes,17.99,14.54,21.54
163,Johnny Cash at San Quentin,0.00,1.00,2.00
164,This is Sinatra!,0.00,1.00,2.00
165,That's Life,0.00,1.00,2.00
166,Piano Man,0.00,1.00,2.00
167,Here's Willie Nelson,0.00,1.00,2.00
168,The Stranger,0.00,1.00,2.00
169,Kid's Album!,1.00,1.00,2.00
170,Lost in Space,9.99,6.91,14.56
171,Middle Brother,8.50,4.53,8.49
172,Alt-J,22.99,17.36,24.55
173,Into the Wide,1.00,1.00,3.00
174,Bryter Layter,22.99,17.65,27.02
175,13,1.00,1.00,4.00
176,"Oh, Inverted World",17.99,8.03,16.53
177,The '59 Sound,11.99,7.89,13.57
178,Collection One or the Fairy War.,9.99,8.00,17.89
179,Pieces of Eight,1.00,1.00,2.00
180,Funeral,9.99,6.89,10.89
181,Kveikur,16.99,14.59,22.34
182,In the Aeroplane Over the Sea,16.99,14.56,17.89
183,(),21.99,13.38,23.98
184,Space Elements Vol. III,11.00,6.45,9.98
185,The Head and the Heart,18.99,9.93,21.38
186,Juno: Music from the Motion Picture,17.99,9.74,22.38
187,Always on My Mind,0.00,1.00,2.00
188,Five Leaves Left,22.99,17.55,24.70
189,Good Vibrations,1.00,1.00,2.00
190,Dookie,16.99,12.44,19.63
191,America,1.00,1.00,2.00
192,Solar Sailors,5.00,1.00,5.00
193,Hot Fuzz: Original Score,19.99,17.92,26.24
