Unit ID,Album,Artist,Genre,Number of Discs,Release Year,Condition,Label,LP/EP/7inch,Quantity ,Pressing Edition
1,Pink Moon,Nick Drake,Folk,1,1972,NM,Island Records,LP,1,NA
2,Foxy Shazam,Foxy Shazam,Glam Rock,1,2010,NM,Enjoy the Ride Records,LP,1,NA
3,Down the Highway,Jim Croce,Country,1,1980,VG,LifeSong,LP,1,NA
4,Malibu,Anderson .Paak,R&B,2,2015,NM,Empire Records,LP,1,Orange Splatter
5,The Wild Hunt,The Tallest Man on Earth,Folk,1,2010,VG+,Dead Oceans,LP,1,NA
6,Trouble,Trampled by Turtles,Folk Rock,1,2007,VG+,BanjoDad Records,LP,1,Limited White Vinyl 2012
7,Who Are You,The Who,Rock,1,1978,VG,MCA Records,LP,1,NA
8,Ten Stories,Mewithoutyou,Rock,1,2015,VG+,Run For Cover Records,LP,1,NA
9,Float,Flogging Molly,Irish Punk,1,2007,VG+,Side One Dummy,LP,1,NA
10,Agents of Fortune,Blue Oyster Cult,Rock,1,1976,F,Columbia Records,LP,1,NA
11,Speak of the Sea,Monarch,French Punk,1,,NM,Throne Records,LP,1,Numbered Limited Edition Red Vinyl
12,Rocky: Original Motion Picture Score,Bill Conti,Soundtrack,1,1976,VG+,United Artists,LP,1,NA
13,Everything All The Time,Band of Horses,Rock,1,2006,VG+,Sub Pop,LP,1,NA
14,17,Chicago,Rock,2,1970,F,Columbia Records,LP,1,NA
15,Blunderbuss,Jack White,Rock,2,2012,VG+,Third Man Records,LP,1,NA
16,Furr,Blitzen Trapper,Folk Rock,1,2008,VG+,Sub Pop,LP,1,Signed Original Pressing
17,Palomino,Trampled by Turtles,Folk Rock,1,2010,VG+,BanjoDad Records,LP,1,NA
18,Hello Operator/Jolene,The White Stripes,Rock,1,2000,VG+,Third Man Records,"7""",1,NA
19,Hold On/On A Dying Woman,Blitzen Trapper,Folk Rock,1,2014,NM,Vagrant Records,"7""",1,NA
20,Maybe Baby/Soul Singer,Blitzen Trapper,Folk Rock,1,2011,NM,Sub Pop,"7""",1,NA
21,Hurricane,Bob Dylan,Folk,1,1975,VG,Columbia Records,"7""",1,NA
22,You Are The Problem Here,First Aid Kit,Folk Rock,1,2017,NM,Columbia Records,"7""",1,NA
23,The Best of Townes Van Zandt,Townes Van Zandt,Folk Americana,2,2019,NM,Fat Possum Records,LP,1,RSD Exclusive
24,I Got A Name,Jim Croce,Country,1,1973,G+,ABC Records,LP,1,NA
25,Simon & Garfunkel Vol. 2,Simon & Garfunkel,Folk Rock,1,,G+,CBS/Sony Records,LP,1,NA
26,Dark Was The Night,Various Artists,Folk,3,2009,VG+,Red Hot,LP,1,NA
27,"O Brother, Where Art Thou?: Original Soundtrack",Various Artists,Soundtrack,2,2000,M,Mercury Records,LP,1,NA
28,Drunken Lullabies,Flogging Molly,Irish Punk,1,2002,VG,Side One Dummy,LP,1,NA
29,People Who Can Eat People Are The Luckiest People In The World,Andrew Jackson Jihad,Folk Punk,1,,NM,Asian Man Records,LP,1,NA
30,The Best of the Lovin' Spoonful,The Lovin' Spoonful,Rock,2,,G,Kama Sutra Records,LP,1,NA
31,Sinatra Sings… Of Love and Things,Frank Sinatra,Vocal Jazz,1,,G,Capitol Records,LP,1,NA
32,Breakfast in America,Supertramp,Rock,1,1979,F,A&M Records,LP,1,NA
33,To Pimp A Butterfly,Kendrick Lamar,Rap,2,2015,VG+,Interscope Records,LP,1,NA
34,Greatest Hits,Paul Revere & The Raiders,Rock,1,,G,Columbia Records,LP,1,NA
35,The Darjeeling Limited: Original Soundtrack,Various Artists,Soundtrack,1,2007,G+,ABKCO Music & Records,LP,1,NA
36,Nights Are Forever,England Dan & John Ford Coley,Easy Listening,1,1976,VG+,Big Tree Records,LP,1,NA
37,69 Love Songs,The Magnetic Fields,Rock,3,1999,VG+,Merge Records,LP,1,Boxed Set
38,Hamilton: An American Musical,Lin-Manuel Miranda,Musical,4,2015,VG,Atlantic Records,LP,1,Boxed Set
39,Biograph,Bob Dylan,Folk,4,1985,G+,Columbia Records,LP,1,Boxed Set
40,Helplessness Blues,Fleet Foxes,Folk,2,2011,NM,Sub Pop,LP,1,NA
41,Tea for the Tillerman,Cat Stevens,Easy Listening,1,1970,G+,Island Records,LP,1,Original Pressing
42,Evil Friends,Portugal. The Man,Rock,1,2013,VG+,Atlantic Records,LP,1,NA
43,can't maintain.,Andrew Jackson Jihad,Folk Punk,1,,NM,Self Released,LP,1,NA
44,Positive Songs for Negative People,Frank Turner,Punk Rock,1,2015,M,Polydor Records,LP,1,NA
45,JT,James Taylor,Easy Listening,1,1977,G,Columbia Records,LP,1,NA
46,Double Fantasy,John Lennon,Rock,1,1980,G,Geffin Records,LP,1,Original Pressing
47,A Forest of Arms,Great Lake Swimmers,Rock,1,2015,VG+,Nettwerk Records,LP,1,NA
